LGSN,OLFM3,DNAJC24,UPRT,LCORL,PPP3CA,HERPUD2,APELA,PPAT,ZFP37,ZNF354C,ZNF800,ARID2,NLK,FBXO33,POLR3F,KBTBD12,ZNF396,PRRG4,CDO1,ZNF718,SAMD13,NIP7,INSC,TMEM38B,ZFAND4,NIPSNAP3A,GPAM,GIN1,SEC24B.AS1,ZKSCAN7,FBXO7,PABPC4L,WAC.AS1,TMEM169,Label
5.118695349,5.800028305,5.901475461,8.410155221,7.063625255,9.241352864,7.860394328,8.092955745,8.668212044,5.966794992,7.03815172,7.868922001,6.553643834,7.250828921,8.293709446,7.866505554,6.72262293,5.687448669,6.120889686,6.187641045,6.257288516,4.145954958,7.109302898,5.365296494,9.470004468,6.985457509,8.737222355,7.388896047,5.155810657,6.050388191,8.474122598,9.247862107,7.659324897,8.446499553,5.670450016,chronic
4.528307494,5.687486203,5.844073334,8.351630627,6.960747635,8.727699182,7.400861289,6.493315564,8.345931537,5.254639536,7.330709866,7.33992942,6.238592301,7.750797886,7.927009473,8.234087194,6.449044429,5.51607288,6.766542782,6.22875484,6.083386704,4.155377936,6.574093762,5.510260318,9.118953134,6.881678785,8.630541791,6.136290833,4.625639181,5.830389742,8.471007164,9.258330359,7.371265814,8.372903357,5.959516191,chronic
4.913059394,4.115294028,6.847295565,7.393065075,6.704794117,9.924783564,8.401980089,6.081161078,9.350247102,5.383598557,7.194784567,7.278887064,6.404705699,8.363563127,8.243158232,8.306903548,6.373220354,5.402337221,7.604842549,5.248662973,7.537431738,3.693629497,7.815486468,5.132927212,8.189151571,6.818602983,7.93560588,6.954016614,4.872180088,5.897036221,8.62592518,9.74913971,7.190735224,7.610507476,5.915576146,chronic
5.620881868,5.518444428,6.792212803,7.919940804,6.965849197,9.577015626,8.173309831,6.009301599,8.997872762,5.621701201,6.789550651,6.726601659,6.597185726,7.955945132,8.531468153,8.147128815,6.182054397,5.817980064,5.855647496,6.241358871,6.986235279,4.115765591,7.524596229,5.455519048,8.914460434,7.033921838,8.448209985,7.388896047,5.875776546,5.814968424,8.79178897,8.933669691,8.042076896,7.486867394,6.075599588,chronic
5.216320124,3.646266578,5.568787348,8.572764189,6.656004148,9.731292592,8.650791116,6.649495943,8.761868178,4.957758651,7.48081744,6.899120762,5.756140898,8.649336312,8.260818918,8.241865996,6.067841839,5.28927433,6.503583106,5.676988548,6.769119598,3.526146655,7.449103033,6.277994668,8.870314495,6.75151773,8.2043683,6.501229046,4.827749347,5.509006003,8.870880346,9.014561207,6.6453885,8.214470781,6.119167702,chronic
5.16328423,4.720285987,5.574881756,7.872138296,6.970385719,9.61161787,8.215071984,6.854403517,7.223679756,5.464801803,7.264307433,7.138522507,5.230826879,7.602004386,8.138067014,8.207176419,5.453947996,4.527928067,6.234856748,5.245426923,7.369743675,3.903797152,7.561201454,5.859870803,8.801718027,7.087788103,8.405151331,6.214380297,5.145745943,5.571245975,8.358352811,9.855209904,7.196393144,7.663853141,6.486973688,chronic
5.201876467,5.814516992,6.625037494,7.820042768,6.804616474,9.425620257,8.05550016,7.37937259,9.331326961,4.690255356,7.503057419,7.570191005,6.63152282,8.478956302,8.34627925,8.159906661,5.755270153,4.736658945,6.476881464,5.179637683,6.161356341,4.469617302,7.39176785,5.681691333,8.119073976,7.200247633,8.708973558,5.933216938,5.312784344,5.800688082,8.201099144,8.9550495,6.864890974,8.472796593,7.387840423,chronic
5.061808263,6.118263428,6.142385404,8.234444634,6.909224054,9.570039758,8.352144748,9.607114424,9.300757447,5.240806674,7.946897001,7.353849377,6.233937115,8.302752367,8.31065714,8.327573454,6.207814506,5.488455182,6.700270329,5.805530531,7.430385891,3.91151605,7.387055356,5.118687096,9.496249928,7.243910238,8.554069912,6.928222206,4.984904971,6.674868461,8.869963802,9.262881332,8.561836699,8.119770408,6.630954259,chronic
0.77815125,0.301029996,1.255272505,1.230448921,1.447158031,2.414973348,1.662757832,0.602059991,0.903089987,0.477121255,1.041392685,1.963787827,1.69019608,1.69019608,1.602059991,1.146128036,0.602059991,0.903089987,1.672097858,0,0.903089987,0.602059991,1.397940009,0.954242509,1.041392685,1.380211242,1.431363764,1.278753601,0.903089987,0.301029996,0.698970004,2.146128036,0.77815125,1.531478917,0.903089987,acute
0,0,1.113943352,1.301029996,1.698970004,2.36361198,2.225309282,0.301029996,0.903089987,0,0.903089987,2.556302501,2.068185862,1.886490725,2.096910013,1.079181246,0.698970004,0.954242509,2.303196057,0,1.255272505,0.477121255,1.361727836,1,1.230448921,2.322219295,1.579783597,0.698970004,1.414973348,0.602059991,1.113943352,3.948364056,0,1.740362689,0.602059991,acute
