"","PTGS2","YTHDF3.AS1","CDKN3","KIF11","PDE8A","CCNB1","HEY1","LETM2","TOP2A","HELLS","MEF2C","MELK","FABP5","LYAR","WBP4","LINC01138","RHOB","CPQ","CCSAP","AMD1","OAZ2","CLEC1A","SGK1","LOC105369662","ZNF687","KIF18A","IL36B","LRRC25","LOC100272216","DTL","SLFN13","SOX3","PTPN9","ANKRD22","LINC00896","LOC652276","CD1E","CNR2","LOC101927257","TRMT6","APLP2","GPATCH2L","HRASLS2","NUAK2","PIR","NAGS","RFX2","ZFX","TNRC6A","SLC45A3","Status"
"GSM382258",7.85324595125628,3.8358849339924,3.62082041889177,3.3667056661349,3.77236447511825,3.67464694907968,5.08741164394959,5.30672407044762,4.37444882730812,3.9762766818148,4.76373749376412,4.10733771553195,5.05639777657354,7.39740004276125,6.80636441362425,7.61879871699189,6.1063624702622,9.21889435869838,2.42250434514308,8.94272943211635,9.916031418736,5.05088057785319,9.9014568754289,6.12719235030984,5.82655623916972,2.91719124543789,3.2251256772875,9.21155561579556,7.99117752939302,3.1830455769983,3.41948877627587,4.01992040145851,5.71862539711883,7.86877633247415,3.92667057254861,4.92066454812949,5.04027077443951,5.18803391405762,3.36035735135318,6.47458351651174,10.2890834361581,4.81779557845567,4.23118656254646,10.1658122963707,3.00472136214764,4.44507102942631,4.69174289834413,4.30254835283722,3.88283587667628,5.71511965567975,"Rejection"
"GSM382259",6.48991364191495,4.07280199549577,3.43720421810843,3.45782570835419,3.88062223890967,3.55313535128779,4.23484603597899,3.74354121953836,5.15004461856619,5.37380434973007,4.77472210305741,4.07790557135833,7.00634600318953,8.5105159772018,6.69242751666208,7.41680784469013,4.43984466968739,7.65691021624958,2.54504134605477,7.77554465107695,8.72198536466896,4.42954204960162,9.15245866924348,7.75321357980939,5.03780546069046,2.82109877808268,2.90423687464607,7.44757357641422,9.02931016159162,3.35189279481309,3.87222219185107,3.80892775138596,5.62336089229614,9.27625024606358,3.80634119674036,4.73744575336283,4.56626499516896,4.47340596140187,3.77045693407046,7.2291262364754,9.89156277186079,5.00073798621838,3.91575941856601,8.87521772200735,2.90062919305437,4.69384059652396,3.98093685211123,3.81647132168323,3.94337317393769,4.51442990729032,"Rejection"
"GSM382260",6.89179068417757,4.10752558020968,3.4958703716021,3.21835277393467,3.85000232123255,3.93356739738483,4.59683824736115,3.86261469361684,4.36210958460024,3.68879002469826,4.64614387818847,3.86898122465536,6.53133500040624,8.07397907681876,6.68528301972948,7.69082781656542,4.1838898604778,8.98414059539934,2.76990568873712,8.33596903736813,9.20550639993721,4.99025073563932,8.74104170921536,6.65282490990222,5.50441209935749,3.21225912623015,3.15567343261531,8.45894337938458,8.21927173550903,3.68534114475597,3.46779405758045,4.06820181314488,5.67387741230608,9.82295600111464,4.03391921373737,4.88575638993112,5.12039695110037,4.35595225196481,3.6102138583509,6.99064153325091,10.1784517832399,5.20662437913301,4.12711235646323,9.32938229107002,3.12025850643371,4.82488109734877,4.28759402823539,4.58861416662872,3.88260849575417,4.65862002449822,"Stable"
"GSM382261",6.83050843554237,3.96293810147703,3.98215608966879,3.89357464892306,3.87752958828818,4.631719446596,4.5510976575897,4.29675967278655,5.76675311745112,5.42349808823204,4.86742505423814,4.08687506147318,5.14266507546727,8.0678610386719,6.55327389942579,7.75231351367264,5.06864719859654,8.63030763270885,2.53550244371649,8.75262809001345,9.83334200080754,4.66836483504343,9.91275647529972,7.57666653531332,5.69240296804804,2.86812934024227,2.91799985219533,8.00053430165854,8.93737584052447,4.43255320366176,3.8267053635314,4.28020418978168,5.54996052503021,6.98804492820767,3.82870995607656,4.94569658578079,4.98142179117818,4.53177435718459,3.9776640140685,6.92272392948484,10.2112954974233,4.88871406425994,4.08999775287265,9.93777975721544,2.85369249973407,4.61847296421729,4.42942992466513,4.02107849599921,3.75278078788439,5.17008887216199,"Rejection"
"GSM382262",7.39745751055571,4.42131907597689,4.76625965264867,4.39628483450541,3.91786830098209,4.64379053239873,5.64469043155343,4.79187034201197,7.30105197284589,4.38827884980294,5.22623247062117,4.80703348912701,5.40343283379935,7.01930725128428,7.32771333874928,7.21710058134037,4.31485191184714,8.74508870392443,2.63672287467444,8.769105216098,9.60031872597571,4.71458416582241,9.62203198405768,6.90697004731594,5.95607949362156,3.01563084793347,2.98750040002206,8.36802483174186,7.34495228429472,4.63927497483807,3.49038868909627,4.66379028067088,5.56296709387714,9.03544147829452,4.17417698672266,4.78768333482091,5.34018923182678,5.55424209151749,3.86947799868029,6.97592690214692,10.3112709640703,4.65809554699558,4.46060473383007,9.27350013420913,3.27512537443773,4.25265349507721,4.4544821448559,4.20743460290139,4.1641380545596,4.73446737120037,"Rejection"
"GSM382263",6.86098895302988,4.33298435649812,4.15131898684623,3.58730841459687,3.86976828062081,4.12693359386896,4.77044885480417,5.7188460629581,5.00028097775174,3.61318994505546,4.51423761351879,3.89883316002046,5.74214735718901,7.22726935187468,7.15791247707555,7.87342503740057,4.45894909126311,8.93483069021526,2.67518210287622,8.66693737797966,9.3051516315159,4.63055174557516,9.3135396937342,7.02737657223445,6.74379240016655,3.07098105549514,3.13543312809047,8.6594031112376,8.03816394110994,3.43499072390169,3.07593985902263,4.14151708102529,5.63550156744048,8.74340510666508,4.08904204423601,5.27949390742089,5.1774432325366,5.40111913745263,3.27385281381918,6.82909309969706,10.5559917541947,5.04532482325391,4.33238866004301,10.2114545874455,2.82501395730584,4.19181522416315,4.99018918140859,4.35382650182226,4.27599408512028,5.40226967562911,"Rejection"
"GSM382264",6.38410673436422,4.31475829525107,3.35840693202716,3.31087369484436,4.63488366679148,3.77559704586038,5.50828496079153,4.00079259900237,3.9510847154641,3.81057857478205,5.07838636498138,3.66920803231613,6.2869685883037,7.69601407368812,6.38123729134476,7.18613478294252,5.62017095129492,8.61850359064328,2.68831386792983,8.04815293233853,9.77197198765119,4.88182447093708,9.94689103588834,6.21942002145716,5.73498083742728,2.78744384120014,3.00501333032154,8.88619584852807,8.45235794429422,3.23377790064561,3.25879529076908,4.19074037218577,5.93100186487466,8.30114306081198,4.48651155984359,5.38330286725863,4.97813596866519,5.16163545282976,3.75601989775857,6.4961652563268,10.7121276630637,4.93464276300715,4.02070927680541,9.44991453618671,2.85760239251078,4.72884416916708,4.83738374351038,3.80542665836337,4.27775504208952,5.00043849299963,"Stable"
"GSM382265",7.85836106210256,4.03907875582707,3.3972477181138,3.10218849398149,4.19703188602208,4.26768667549271,4.50220588805472,4.7474921502641,3.92559692853342,4.35453851049014,5.61842358750043,3.66465993980586,6.23916401144831,7.66838251574094,6.7601406904211,7.26825116617386,5.11083400294411,8.49549416885357,2.68453874108879,8.43637715422351,9.65723326341721,4.92832514213702,10.0865901389543,6.19436198564099,5.25940756319361,2.98447923525903,3.08418012582674,8.57659917184969,8.48229062089575,3.18688423361248,3.68572437741034,4.18727712685815,5.50734619685832,7.14710376721778,3.90316518876463,5.11754262550092,4.69561513906125,5.14392508423501,3.6649610934933,7.124837907207,10.337042983039,4.9527666165692,3.84655950758264,9.42657848453855,2.67203883221759,4.90039186783698,4.75284397568032,4.85489589908356,4.00052606797559,5.18153318813543,"Stable"
"GSM382266",7.45626910531694,4.14480742815286,3.32673136445145,3.22326008891329,4.382151696847,4.07520638718107,5.01587222350214,4.62080441010806,3.97806838400136,3.6364089719085,5.33751194239981,4.14804822523466,6.74558303403827,7.33235684097531,6.23833343950475,7.11187004198616,5.83427182696862,8.78790030317078,2.77601212934723,8.84242379663257,9.86611950434435,5.05818648286406,10.1785924010385,5.68978944663665,6.19388079946175,3.14632570105708,3.0097756739715,9.1354493836045,7.82913942855543,2.98458236775466,3.22191050047995,4.16050967786226,6.01599317789564,6.31466083766607,3.84791312711233,5.09785778235504,4.83088858743549,5.05959704388047,3.69050938835518,6.82108473409861,10.6857892057436,4.53848439682171,3.85593846188218,10.0003617549789,3.0705431993977,4.78047298394305,4.58932247643785,4.4502196752146,3.89720965836711,5.25455528342094,"Stable"
"GSM382267",8.01721667644895,3.91166811813307,3.37146718917181,3.52249426862571,4.52403549538752,4.21057150350052,5.51670087133976,3.93433507887202,3.62269332059558,3.91699814181473,5.16780218609155,3.74712922230869,6.34467408670912,7.74169087553602,6.29452154101808,7.58360483528994,5.53430472581318,8.52140842811126,2.84883127906723,8.35860992295135,9.85083911017247,4.96736280006603,10.2631074399304,6.08685308549149,5.4580115262849,2.85254127549428,2.81268495770576,9.3089876264095,8.07132579054734,3.17828023255682,3.77878413062344,4.24474401485749,5.65833870166229,9.06512811784203,4.22678616948703,4.9453732014013,4.79796269540889,5.20517764654963,3.3093627262172,6.43632686194869,10.383442611004,4.71705792465128,3.87604372204137,9.91113426947628,2.95250529952648,4.89684276924436,4.63904497559344,4.82702540702295,4.18011373543747,5.24720911635972,"Stable"
